image,well,roi_area,raw_mean,raw_median,raw_intden,mean_gray,median_gray,sd_gray,min_gray,max_gray,intden_gray,cv_gray,dark_frac_40,dark_frac_60,dark_frac_80
226L_crop,BR,463304.000,49.247,37.000,22816320.000,60.944,43.000,40.726,0.000,206.000,28235418.000,0.668256,40.800,72.636,79.186

H99H_crop,TL,477851.000,111.307,112.000,53187935.000,121.125,123.000,18.009,3.000,175.000,57879834.000,0.148681,23.779,24.125,25.175

H99H_crop,TM,503920.000,116.917,118.000,58917041.000,125.511,127.000,25.377,0.000,200.000,63247674.000,0.202189,0.759,1.872,5.006

H99H_crop,TR,484526.000,35.237,33.000,17073353.000,46.622,44.000,13.442,0.000,175.000,22589444.000,0.288315,29.610,92.285,98.070

H99H_crop,BL,475902.000,57.684,57.000,27452020.000,66.196,66.000,7.999,4.000,107.000,31502955.000,0.120845,0.059,23.109,95.265

H99H_crop,BM,495156.000,49.530,49.000,24525245.000,58.906,58.000,7.615,5.000,116.000,29167452.000,0.129271,0.440,62.732,98.535

H99H_crop,BR,463304.000,55.917,55.000,25906643.000,64.549,64.000,8.579,3.000,109.000,29905901.000,0.132906,0.080,32.287,94.946

H99L_crop,TL,477851.000,118.537,119.000,56642830.000,125.589,127.000,16.361,2.000,171.000,60012946.000,0.130273,23.566,23.575,23.736

H99L_crop,TM,503920.000,120.741,122.000,60844036.000,128.704,130.000,19.384,0.000,200.000,64856503.000,0.150608,0.261,0.832,2.183

H99L_crop,TR,484526.000,127.469,128.000,61762108.000,132.220,133.000,15.519,35.000,180.000,64063905.000,0.117376,0.001,0.046,0.547

H99L_crop,BL,475902.000,129.000,130.000,61391421.000,134.450,136.000,16.960,9.000,194.000,63985132.000,0.126141,0.104,0.335,1.140

H99L_crop,BM,495156.000,141.289,142.000,69959898.000,143.258,144.000,14.964,27.000,189.000,70934921.000,0.104452,0.019,0.082,0.322

H99L_crop,BR,463304.000,118.733,121.000,55009316.000,127.927,131.000,25.974,0.000,203.000,59268975.000,0.203040,0.932,2.097,5.077

