image,well,roi_area,raw_mean,raw_median,raw_intden,mean_gray,median_gray,sd_gray,min_gray,max_gray,intden_gray,cv_gray,dark_frac_40,dark_frac_60,dark_frac_80
19803_crop,BL,475902.000,106.838,107.000,50844227.000,114.100,114.000,15.952,3.000,170.000,54300385.000,0.139806,0.106,0.395,2.466

19803_crop,BM,495156.000,96.901,98.000,47981188.000,112.148,114.000,23.700,0.000,205.000,55530658.000,0.211327,1.163,2.943,8.232

19803_crop,BR,463304.000,87.426,94.000,40504863.000,112.095,119.000,33.361,0.000,203.000,51933892.000,0.297619,5.662,8.441,12.885

20803_crop,TL,477851.000,84.372,86.000,40317266.000,104.525,107.000,22.419,0.000,164.000,49947374.000,0.214489,23.865,25.674,31.587

20803_crop,TM,503920.000,15.541,15.000,7831652.000,29.863,28.000,12.405,0.000,147.000,15048804.000,0.415376,90.486,97.705,98.790

20803_crop,TR,484526.000,18.699,18.000,9059966.000,32.251,32.000,7.833,0.000,108.000,15626312.000,0.242885,86.427,99.866,99.991

20803_crop,BL,475902.000,28.468,28.000,13548204.000,40.960,40.000,8.503,0.000,89.000,19492892.000,0.207604,51.291,97.536,99.994

20803_crop,BM,495156.000,28.086,28.000,13906770.000,40.352,40.000,7.593,0.000,73.000,19980503.000,0.188176,52.079,99.258,100.000

20803_crop,BR,463304.000,16.261,16.000,7533703.000,30.501,30.000,8.712,0.000,75.000,14131390.000,0.285633,89.126,99.386,100.000

21303_crop,TL,477851.000,72.498,75.000,34643379.000,104.146,108.000,32.251,0.000,197.000,49766047.000,0.309670,26.550,30.814,38.525

21303_crop,TM,503920.000,70.977,73.000,35766925.000,106.007,111.000,35.884,0.000,206.000,53418929.000,0.338509,6.179,12.387,22.319

21303_crop,TR,484526.000,48.012,52.000,23263235.000,109.740,118.000,56.199,0.000,233.000,53171770.000,0.512108,15.535,22.916,30.909

21303_crop,BL,475902.000,56.780,60.000,27021807.000,119.323,124.000,61.742,0.000,253.000,56786096.000,0.517438,13.864,21.803,29.933

21303_crop,BM,495156.000,26.516,20.000,13129562.000,60.870,43.000,44.642,0.000,205.000,30140105.000,0.733398,47.059,62.710,72.182

21303_crop,BR,463304.000,15.320,12.000,7097619.000,37.728,29.000,26.678,0.000,155.000,17479434.000,0.707119,70.187,83.627,90.577

21503_crop,TL,477851.000,98.560,99.000,47096919.000,110.190,111.000,19.399,0.000,180.000,52654494.000,0.176048,23.577,23.608,25.861

21503_crop,TM,503920.000,19.361,16.000,9756372.000,34.519,30.000,21.544,0.000,173.000,17394576.000,0.624123,83.277,94.171,95.921

21503_crop,TR,484526.000,28.706,27.000,13909007.000,41.734,40.000,12.825,0.000,187.000,20221166.000,0.307302,52.518,95.248,98.856

21503_crop,BL,475902.000,31.498,31.000,14989813.000,43.719,43.000,9.571,0.000,185.000,20806145.000,0.218921,36.078,97.406,99.691

21503_crop,BM,495156.000,25.626,25.000,12688997.000,38.677,38.000,7.794,0.000,97.000,19151159.000,0.201512,61.636,99.268,99.992

21503_crop,BR,463304.000,23.057,23.000,10682229.000,37.459,36.000,11.745,0.000,168.000,17355070.000,0.313546,69.622,96.314,98.915

21703_crop,TL,477851.000,77.623,79.000,37092264.000,96.547,97.000,19.965,0.000,173.000,46135282.000,0.206792,25.662,27.882,34.547

21703_crop,TM,503920.000,31.312,26.000,15778690.000,82.557,73.000,54.121,0.000,233.000,41602057.000,0.655556,26.299,41.164,54.375

21703_crop,TR,484526.000,21.691,21.000,10509673.000,35.339,34.000,11.974,0.000,161.000,17122431.000,0.338838,78.655,96.604,99.102

21703_crop,BL,475902.000,29.186,29.000,13889848.000,41.385,41.000,8.096,0.000,93.000,19695014.000,0.195633,48.626,98.169,99.994

21703_crop,BM,495156.000,29.338,29.000,14526974.000,40.838,41.000,6.867,0.000,69.000,20220942.000,0.168162,48.908,99.635,100.000

21703_crop,BR,463304.000,20.081,20.000,9303579.000,33.825,33.000,9.142,0.000,90.000,15671325.000,0.270262,81.322,98.499,99.974

22503_crop,TL,477851.000,80.993,81.000,38702736.000,95.681,96.000,17.308,0.000,154.000,45721182.000,0.180896,23.867,24.814,32.382

22503_crop,TM,503920.000,36.391,17.000,18338146.000,66.562,44.000,66.107,0.000,230.000,33541797.000,0.993173,48.698,55.645,61.792

22503_crop,TR,484526.000,19.101,17.000,9255159.000,34.163,31.000,16.510,0.000,153.000,16552710.000,0.483290,81.315,94.366,97.038

22503_crop,BL,475902.000,23.377,23.000,11124934.000,36.657,36.000,9.172,0.000,136.000,17444947.000,0.250201,70.253,98.765,99.867

22503_crop,BM,495156.000,19.549,19.000,9679672.000,32.933,33.000,7.392,0.000,71.000,16307211.000,0.224443,84.976,99.986,100.000

22503_crop,BR,463304.000,13.986,14.000,6479816.000,28.841,28.000,9.027,0.000,77.000,13362200.000,0.312998,90.488,99.658,100.000

