image,well,roi_area,raw_mean,raw_median,raw_intden,mean_gray,median_gray,sd_gray,min_gray,max_gray,intden_gray,cv_gray,dark_frac_40,dark_frac_60,dark_frac_80
H9902_crop,TM,503920.000,104.519,105.000,52669260.000,114.274,115.000,20.972,0.000,211.000,57585098.000,0.183527,0.249,1.090,5.436

H9902_crop,TR,484526.000,18.835,9.000,9126278.000,39.101,25.000,38.139,0.000,190.000,18945364.000,0.975393,72.297,81.974,86.498

H9902_crop,BL,475902.000,26.095,25.000,12418562.000,39.573,38.000,12.072,0.000,153.000,18832788.000,0.305050,61.366,95.869,98.995

H9902_crop,BM,495156.000,39.437,39.000,19527556.000,49.895,50.000,7.262,0.000,111.000,24705584.000,0.145546,8.275,92.899,99.929

H9902_crop,BR,463304.000,40.247,40.000,18646736.000,50.588,50.000,7.739,0.000,109.000,23437700.000,0.152987,7.493,90.354,99.853

